"ARI"	"cluster_number"	"method"
"CellCharter_3"	0.109053013210752	3	"CellCharter"
"CellCharter_4"	0.171767168518906	4	"CellCharter"
"CellCharter_5"	0.153158385841464	5	"CellCharter"
"CellCharter_6"	0.157759022082415	6	"CellCharter"
"CellCharter_7"	0.164118174258715	7	"CellCharter"
"CellCharter_8"	0.15780582795137	8	"CellCharter"
"CellCharter_9"	0.161253526172669	9	"CellCharter"
"CellCharter_10"	0.149864006793387	10	"CellCharter"
"SCANIT_3"	0.0669864841233286	3	"SCANIT"
"SCANIT_4"	0.0880719079126591	4	"SCANIT"
"SCANIT_5"	0.0877222799019239	5	"SCANIT"
"SCANIT_6"	0.127975787593115	6	"SCANIT"
"SCANIT_7"	0.124074294310268	7	"SCANIT"
"SCANIT_8"	0.134533955312433	8	"SCANIT"
"SCANIT_9"	0.122143385892029	9	"SCANIT"
"SCANIT_10"	0.115020000436455	10	"SCANIT"
"SEDR_3"	0.078943525078603	3	"SEDR"
"SEDR_4"	0.193395732303054	4	"SEDR"
"SEDR_5"	0.255932218051107	5	"SEDR"
"SEDR_6"	0.273819923651264	6	"SEDR"
"SEDR_7"	0.26450031367947	7	"SEDR"
"SEDR_8"	0.263771323880274	8	"SEDR"
"SEDR_9"	0.260216165225248	9	"SEDR"
"SEDR_10"	0.259677792010202	10	"SEDR"
"SpaceFlow_3"	0.140676363316469	3	"SpaceFlow"
"SpaceFlow_4"	0.130623740060327	4	"SpaceFlow"
"SpaceFlow_5"	0.136044948485528	5	"SpaceFlow"
"SpaceFlow_6"	0.16656719655259	6	"SpaceFlow"
"SpaceFlow_7"	0.147299103850516	7	"SpaceFlow"
"SpaceFlow_8"	0.174678364221983	8	"SpaceFlow"
"SpaceFlow_9"	0.174370951731978	9	"SpaceFlow"
"SpaceFlow_10"	0.171477945973645	10	"SpaceFlow"
